Id,Weekly_Sales
1_2_2013-02-01,51296.90332142858
1_2_2013-02-08,49890.6832714286
1_2_2013-02-15,50632.170359523814
1_2_2013-02-22,50131.686776190465
1_2_2013-03-01,51517.827338775496
1_2_2013-03-08,48787.02566428569
1_2_2013-03-15,47752.05264761902
1_2_2013-03-22,46486.2512690476
1_2_2013-03-29,47181.35260714284
1_2_2013-04-05,50182.99728095233
1_2_2013-04-12,48455.87145714285
1_2_2013-04-19,47426.0291559524
1_2_2013-04-26,47195.48308452383
1_2_2013-05-03,48517.975074603164
1_2_2013-05-10,46946.108998412674
1_2_2013-05-17,45537.213796031734
1_2_2013-05-24,45729.65246746031
1_2_2013-05-31,46684.25584285714
1_2_2013-06-07,46756.79717619048
1_2_2013-06-14,46426.58115952382
1_2_2013-06-21,46532.62367142858
1_2_2013-06-28,47585.613095238106
1_2_2013-07-05,48167.93512142857
1_2_2013-07-12,45497.92640000001
1_2_2013-07-19,45196.714514285726
1_2_2013-07-26,45454.67775952382
1_3_2012-11-02,9456.852738095236
1_3_2012-11-09,9609.699395238094
1_3_2012-11-16,9673.792026190475
1_3_2012-11-23,9668.909095238096
1_3_2012-11-30,10386.116016666667
1_3_2012-12-07,12122.847578571427
1_3_2012-12-14,12809.492140476186
1_3_2012-12-21,12932.399328571424
1_3_2012-12-28,9138.025304761904
1_3_2013-01-04,13722.687257142858
1_3_2013-01-11,13231.331042857142
1_3_2013-01-18,12953.264011904763
1_3_2013-01-25,11553.81621904762
1_3_2013-02-01,11855.380798639462
1_3_2013-02-08,12220.055815306121
1_3_2013-02-15,11039.22128911565
1_3_2013-02-22,10950.09764863946
1_3_2013-03-01,11293.725127210886
1_3_2013-03-08,11098.424669047617
1_3_2013-03-15,9267.228821428562
1_3_2013-03-22,8622.427666666657
1_3_2013-03-29,8981.324076190469
1_3_2013-04-05,9286.464259523804
1_3_2013-04-12,8271.737657142852
1_3_2013-04-19,8483.053442176864
1_3_2013-04-26,8764.497385034008
1_3_2013-05-03,10199.151428571427
1_3_2013-05-10,10023.36360238095
1_3_2013-05-17,9130.241161904762
1_3_2013-05-24,8612.21632142857
1_3_2013-05-31,8526.588869047619
1_3_2013-06-07,8442.795765306122
1_3_2013-06-14,8344.971729591834
1_3_2013-06-21,8088.353753401358
1_3_2013-06-28,8364.995134353741
1_3_2013-07-05,8423.718205782312
1_3_2013-07-12,12912.396731746032
1_3_2013-07-19,19555.571190476174
1_3_2013-07-26,21680.334511904748
1_4_2012-11-02,37051.69566190475
1_4_2012-11-09,36892.23518095237
1_4_2012-11-16,36892.23518095237
1_4_2012-11-23,36869.90291666668
1_4_2012-11-30,37983.59709285716
1_4_2012-12-07,38000.30297380954
1_4_2012-12-14,38908.79236904763
1_4_2012-12-21,42475.59703095238
1_4_2012-12-28,37586.96415952381
1_4_2013-01-04,38897.33664285712
1_4_2013-01-11,36654.35724285714
1_4_2013-01-18,34583.18242142858
1_4_2013-01-25,34550.45834285715
1_4_2013-02-01,38144.23990952383
1_4_2013-02-08,38664.74129999998
1_4_2013-02-15,36972.49640952383
1_4_2013-02-22,36444.415940476225
1_4_2013-03-01,36604.77891666669
1_4_2013-03-08,38073.6699952381
1_4_2013-03-15,37982.403261904765
1_4_2013-03-22,37430.790673809526
1_4_2013-03-29,37765.75536428572
1_4_2013-04-05,39596.869352380934
1_4_2013-04-12,37934.786729931955
1_4_2013-04-19,36914.51538469388
1_4_2013-04-26,37105.45043571429
1_4_2013-05-03,39259.51743809522
1_4_2013-05-10,36517.41192142859
1_4_2013-05-17,35794.24206428574
1_4_2013-05-24,37827.560278571436
1_4_2013-05-31,40919.03879047619
1_4_2013-06-07,40966.75751904763
1_4_2013-06-14,39359.28854523811
1_4_2013-06-21,38412.63114047621
1_4_2013-06-28,39268.311209523825
1_4_2013-07-05,39194.12444285716
1_4_2013-07-12,38489.27838333335
1_4_2013-07-19,38530.96975476192
1_4_2013-07-26,38832.67019761907
1_5_2012-11-02,26377.767711904744
1_5_2012-11-09,26238.56380714284
1_5_2012-11-16,26216.988616666655
1_5_2012-11-23,58172.96584523809
1_5_2012-11-30,36704.45572619047
1_5_2012-12-07,40879.736988095225
1_5_2012-12-14,43759.761497959174
1_5_2012-12-21,68970.82348809524
1_5_2012-12-28,35082.81185238096
1_5_2013-01-04,21836.480642857165
1_5_2013-01-11,20501.828359523814
1_5_2013-01-18,20021.569954761908
1_5_2013-01-25,20981.601828571424
1_5_2013-02-01,33113.977030952374
1_5_2013-02-08,35576.9896404762
1_5_2013-02-15,38763.340229591835
1_5_2013-02-22,38636.177086734686
1_5_2013-03-01,27687.821280952383
1_5_2013-03-08,27318.202661904765
1_5_2013-03-15,28278.64817380952
1_5_2013-03-22,29396.881004761894
1_5_2013-03-29,27607.86552380953
1_5_2013-04-05,26259.115321428577
1_5_2013-04-12,25895.643726190476
1_5_2013-04-19,24625.993764285715
1_5_2013-04-26,20281.36441904762
1_5_2013-05-03,17829.028292176878
1_5_2013-05-10,17615.648669047623
1_5_2013-05-17,17675.146490476192
1_5_2013-05-24,17712.636423809523
1_5_2013-05-31,18123.951757142855
1_5_2013-06-07,18948.231305442176
1_5_2013-06-14,20225.634779251704
1_5_2013-06-21,20085.829745238098
1_5_2013-06-28,20130.0420292517
1_5_2013-07-05,19305.120711904765
1_5_2013-07-12,18716.137565816334
1_5_2013-07-19,18461.171899149664
1_5_2013-07-26,18291.00627176871
1_6_2012-11-02,4424.356833333333
1_6_2012-11-09,3949.348654761903
1_6_2012-11-16,3416.3445238095237
1_6_2012-11-23,18451.698797619047
1_6_2012-11-30,6701.898133333334
1_6_2012-12-07,6655.639159523807
1_6_2012-12-14,9806.712221428574
1_6_2012-12-21,19226.43735238095
1_6_2012-12-28,10032.856247619044
1_6_2013-01-04,3151.323009863946
1_6_2013-01-11,2718.424340816327
1_6_2013-01-18,2524.3220670068026
1_6_2013-01-25,2329.049717006801
1_6_2013-02-01,3746.374385034015
1_6_2013-02-08,6594.764138095237
1_6_2013-02-15,4315.454450831446
1_6_2013-02-22,4470.457567498112
1_6_2013-03-01,5238.861805933487
1_6_2013-03-08,4969.372797089948
1_6_2013-03-15,3771.485832804233
1_6_2013-03-22,3599.639823280422
1_6_2013-03-29,4141.2733208994705
1_6_2013-04-05,4361.640868518519
1_6_2013-04-12,4232.0761542328055
1_6_2013-04-19,3427.034873280424
1_6_2013-04-26,3636.5920756613764
1_6_2013-05-03,4827.930506613758
1_6_2013-05-10,4274.159970899469
1_6_2013-05-17,5175.015140117156
1_6_2013-05-24,5278.994716307632
1_6_2013-05-31,4109.283923809524
1_6_2013-06-07,3745.6318333333334
1_6_2013-06-14,4062.6460357142846
1_6_2013-06-21,4423.234030952381
1_6_2013-06-28,4494.565292857143
1_6_2013-07-05,4206.701235714286
1_6_2013-07-12,3263.6233476190473
1_6_2013-07-19,3453.5649292516987
1_6_2013-07-26,3243.768024489795
1_7_2012-11-02,23257.155673809517
1_7_2012-11-09,23453.731107142852
1_7_2012-11-16,22813.046142857125
1_7_2012-11-23,60520.013557142855
1_7_2012-11-30,44888.98914761905
1_7_2012-12-07,51908.46514285717
1_7_2012-12-14,87000.70235476192
1_7_2012-12-21,119831.25676190476
1_7_2012-12-28,41736.12773809523
1_7_2013-01-04,13095.19256904762
1_7_2013-01-11,10294.537876870745
1_7_2013-01-18,10614.51646020408
1_7_2013-01-25,12025.172255782316
1_7_2013-02-01,16120.902629591845
1_7_2013-02-08,20070.640083333346
1_7_2013-02-15,18318.908488095243
1_7_2013-02-22,17273.616630952383
1_7_2013-03-01,16908.27430952381
1_7_2013-03-08,17966.81471428572
1_7_2013-03-15,20154.66864285716
1_7_2013-03-22,19956.359053741508
1_7_2013-03-29,20576.088348979607
1_7_2013-04-05,20497.08640952382
1_7_2013-04-12,20582.71432619049
1_7_2013-04-19,19463.59122380953
1_7_2013-04-26,19722.684392857147
1_7_2013-05-03,21602.49735714285
1_7_2013-05-10,21946.107992857138
1_7_2013-05-17,21318.845571428585
1_7_2013-05-24,25657.2460857143
1_7_2013-05-31,32364.507178571428
1_7_2013-06-07,30607.278357142863
1_7_2013-06-14,30016.80313809524
1_7_2013-06-21,27638.84488095238
1_7_2013-06-28,25835.589928571426
1_7_2013-07-05,25303.987604761896
1_7_2013-07-12,20142.924380952376
1_7_2013-07-19,18593.564845238096
1_7_2013-07-26,17801.526464285715
1_8_2012-11-02,38499.66856394559
1_8_2012-11-09,38499.66856394559
1_8_2012-11-16,38499.66856394559
1_8_2012-11-23,35008.46357346939
1_8_2012-11-30,37331.95761632654
1_8_2012-12-07,37162.888592517025
1_8_2012-12-14,37809.56279761905
1_8_2012-12-21,41745.29830000001
1_8_2012-12-28,34140.30926190477
1_8_2013-01-04,35595.20071428572
1_8_2013-01-11,34601.1916547619
1_8_2013-01-18,34932.44701326531
1_8_2013-01-25,35124.74294897959
1_8_2013-02-01,38816.480873809545
1_8_2013-02-08,38152.55695918369
1_8_2013-02-15,37598.118961564636
1_8_2013-02-22,37556.408890136074
1_8_2013-03-01,38882.20714489794
1_8_2013-03-08,37388.96844965986
1_8_2013-03-15,36426.65595204083
1_8_2013-03-22,35629.25628537416
1_8_2013-03-29,37479.43800442176
1_8_2013-04-05,39582.402421088445
1_8_2013-04-12,38340.10613537416
1_8_2013-04-19,37461.3707829932
1_8_2013-04-26,38033.76501632651
1_8_2013-05-03,38025.0870615646
1_8_2013-05-10,37863.21704727891
1_8_2013-05-17,38131.17918061224
1_8_2013-05-24,38586.309573469385
1_8_2013-05-31,40130.12118979593
1_8_2013-06-07,40050.36297551021
1_8_2013-06-14,39816.57131734694
1_8_2013-06-21,38097.48080408163
1_8_2013-06-28,38072.96080340135
1_8_2013-07-05,39758.01917482992
1_8_2013-07-12,37793.06404251699
1_8_2013-07-19,37551.90897585034
1_8_2013-07-26,37522.72024727889
1_9_2012-11-02,44501.20149285716
1_9_2012-11-09,42673.86732142859
1_9_2012-11-16,39083.28809761905
1_9_2012-11-23,39535.15729047619
1_9_2012-11-30,34257.6792047619
1_9_2012-12-07,33421.07983809523
1_9_2012-12-14,34283.11735918366
1_9_2012-12-21,40292.84995680271
1_9_2012-12-28,31188.31649285714
1_9_2013-01-04,18752.723083333327
1_9_2013-01-11,17823.00637857142
1_9_2013-01-18,16885.684164285714
1_9_2013-01-25,17253.4051
1_9_2013-02-01,21067.743440476188
1_9_2013-02-08,21796.6890860544
1_9_2013-02-15,24201.522594557824
1_9_2013-02-22,25786.47614047619
1_9_2013-03-01,29466.370947619052
1_9_2013-03-08,31191.96717380954
1_9_2013-03-15,34889.69805476192
1_9_2013-03-22,35484.80391190477
1_9_2013-03-29,43285.85974523809
1_9_2013-04-05,42164.39444523809
1_9_2013-04-12,37935.233064285705
1_9_2013-04-19,31492.870707142865
1_9_2013-04-26,29052.392666666674
1_9_2013-05-03,29366.82289761905
1_9_2013-05-10,28256.18564132653
1_9_2013-05-17,27389.12071513606
1_9_2013-05-24,28637.24571989797
1_9_2013-05-31,31631.59259761906
1_9_2013-06-07,30807.40595952383
1_9_2013-06-14,29751.246411904773
1_9_2013-06-21,28638.7395547619
1_9_2013-06-28,26004.496376190473
1_9_2013-07-05,25563.344669047616
1_9_2013-07-12,23318.417942857133
1_9_2013-07-19,22300.58144047618
1_9_2013-07-26,21908.300070408164
1_10_2012-11-02,29611.50208095238
1_10_2012-11-09,29294.419142857143
1_10_2012-11-16,28552.892238095235
1_10_2012-11-23,31723.32425714286
1_10_2012-11-30,29677.262080952383
1_10_2012-12-07,30134.620621428567
1_10_2012-12-14,30524.182290476187
1_10_2012-12-21,32573.148099999988
1_10_2012-12-28,26723.328361904765
1_10_2013-01-04,25640.34720918368
1_10_2013-01-11,24782.32073809524
1_10_2013-01-18,23724.457734013613
1_10_2013-01-25,25065.311257823127
1_10_2013-02-01,33629.135404761895
1_10_2013-02-08,36310.29694285713
1_10_2013-02-15,37694.066028571426
1_10_2013-02-22,37401.57707653061
1_10_2013-03-01,37011.27967755102
1_10_2013-03-08,35681.013590476185
1_10_2013-03-15,35603.10663809524
1_10_2013-03-22,36134.28002380954
1_10_2013-03-29,37108.4376904762
1_10_2013-04-05,36180.235892857156
1_10_2013-04-12,32253.159149999996
1_10_2013-04-19,30520.63810714286
1_10_2013-04-26,30445.387385714293
1_10_2013-05-03,33682.90158333335
1_10_2013-05-10,32967.61507380952
1_10_2013-05-17,33170.42076904762
1_10_2013-05-24,34739.82398809526
1_10_2013-05-31,35105.71486904763
1_10_2013-06-07,34856.074495238114
1_10_2013-06-14,33512.98308095239
1_10_2013-06-21,32826.55024285714
1_10_2013-06-28,32764.296059523804
1_10_2013-07-05,32623.19596428571
1_10_2013-07-12,31967.193828571435
1_10_2013-07-19,31775.51338571429
1_10_2013-07-26,31758.77595714286
1_11_2012-11-02,24127.720864285708
1_11_2012-11-09,22194.492390476193
1_11_2012-11-16,22027.791652380958
1_11_2012-11-23,29303.391759523798
1_11_2012-11-30,31579.437754761893
1_11_2012-12-07,34094.901761904766
1_11_2012-12-14,32701.384569047612
1_11_2012-12-21,33498.829278571415
1_11_2012-12-28,24540.165416666674
1_11_2013-01-04,24043.32794761905
1_11_2013-01-11,26633.302628571422
1_11_2013-01-18,22451.683822108847
1_11_2013-01-25,20111.650341156466
1_11_2013-02-01,22063.866128571422
1_11_2013-02-08,24351.926666666674
1_11_2013-02-15,21791.687411904753
1_11_2013-02-22,21937.061007142853
1_11_2013-03-01,22719.180257142856
1_11_2013-03-08,23091.626333333334
1_11_2013-03-15,24100.842972619055
1_11_2013-03-22,25084.51550119047
1_11_2013-03-29,25371.70029642857
1_11_2013-04-05,26705.621470238086
1_11_2013-04-12,24072.67446309523
1_11_2013-04-19,22775.659236904754
1_11_2013-04-26,22191.3126797619
1_11_2013-05-03,28293.329138095225
1_11_2013-05-10,27250.47515476189
1_11_2013-05-17,27667.293297619035
1_11_2013-05-24,29114.643464285713
1_11_2013-05-31,32946.65155714285
1_11_2013-06-07,32589.879066666654
1_11_2013-06-14,29390.70589829932
1_11_2013-06-21,28276.780705442165
1_11_2013-06-28,29827.744931632635
1_11_2013-07-05,28442.872443537406
1_11_2013-07-12,28536.61247210884
1_11_2013-07-19,28625.73104863945
1_11_2013-07-26,29967.054028911563
1_12_2012-11-02,10215.715633333333
1_12_2012-11-09,10352.759219047619
1_12_2012-11-16,9359.02553095238
1_12_2012-11-23,8098.842402380949
1_12_2012-11-30,8047.342490476185
1_12_2012-12-07,8096.393523809522
1_12_2012-12-14,8061.82535238095
1_12_2012-12-21,8136.624185714285
1_12_2012-12-28,7731.55315238095
1_12_2013-01-04,7899.587833333329
1_12_2013-01-11,7799.161654761902
1_12_2013-01-18,7701.646892857139
1_12_2013-01-25,8283.525408163261
1_12_2013-02-01,9108.286458503397
1_12_2013-02-08,9248.630768027208
1_12_2013-02-15,9920.001508503405
1_12_2013-02-22,10524.661776190473
1_12_2013-03-01,11569.734645238092
1_12_2013-03-08,11916.274183333333
1_12_2013-03-15,12403.16195714286
1_12_2013-03-22,11582.899414285712
1_12_2013-03-29,11377.749188095235
1_12_2013-04-05,10969.500592857145
1_12_2013-04-12,10926.951114285717
1_12_2013-04-19,11561.654769047622
1_12_2013-04-26,11393.55486666667
1_12_2013-05-03,11665.095766666665
1_12_2013-05-10,11506.68668809524
1_12_2013-05-17,12313.986900000007
1_12_2013-05-24,12017.184507142863
1_12_2013-05-31,12029.962692857152
1_12_2013-06-07,10999.7460003663
1_12_2013-06-14,10154.929643223442
1_12_2013-06-21,10127.18307179487
1_12_2013-06-28,10556.319278937723
1_12_2013-07-05,10546.519921794867
1_12_2013-07-12,10530.113814652012
1_12_2013-07-19,10888.208900366299
1_12_2013-07-26,10919.426095604396
1_13_2012-11-02,39058.87650952381
1_13_2012-11-09,38387.15864761906
1_13_2012-11-16,38429.787671428574
1_13_2012-11-23,38828.82081904762
1_13_2012-11-30,37976.182271428566
1_13_2012-12-07,37510.87858095238
1_13_2012-12-14,37335.63438571429
1_13_2012-12-21,37525.34947142858
1_13_2012-12-28,36669.21987619048
1_13_2013-01-04,39635.709354761886
1_13_2013-01-11,38401.6374357143
1_13_2013-01-18,38754.508930952405
1_13_2013-01-25,39383.546288095255
1_13_2013-02-01,41952.96381428573
1_13_2013-02-08,42191.864052380966
1_13_2013-02-15,40880.04513095237
1_13_2013-02-22,40887.67552380951
1_13_2013-03-01,42807.039659523805
1_13_2013-03-08,41012.40989761904
1_13_2013-03-15,38803.51566428572
1_13_2013-03-22,38520.63518571429
1_13_2013-03-29,39306.38124285715
1_13_2013-04-05,42457.15239761903
1_13_2013-04-12,40317.35892857143
1_13_2013-04-19,39563.05601530613
1_13_2013-04-26,39539.94607482994
1_13_2013-05-03,41702.20532959182
1_13_2013-05-10,39607.08818197277
1_13_2013-05-17,38821.08769047617
1_13_2013-05-24,38821.08769047617
1_13_2013-05-31,38598.101719047605
1_13_2013-06-07,38920.38182380953
1_13_2013-06-14,39127.00377619049
1_13_2013-06-21,39141.57606190477
1_13_2013-06-28,40332.781695578255
1_13_2013-07-05,41258.69534081633
1_13_2013-07-12,41157.66212414966
1_13_2013-07-19,39142.50311224489
1_13_2013-07-26,38493.98529761903
1_14_2012-11-02,11972.820861904765
1_14_2012-11-09,13136.623826190478
1_14_2012-11-16,16864.984211904757
1_14_2012-11-23,37507.51196428572
1_14_2012-11-30,19560.810935714282
1_14_2012-12-07,22086.454593197275
1_14_2012-12-14,26970.000888435367
1_14_2012-12-21,45242.15922380954
1_14_2012-12-28,24882.542971428575
1_14_2013-01-04,14383.57481904762
1_14_2013-01-11,14276.763026190478
1_14_2013-01-18,13756.222833333331
1_14_2013-01-25,13283.540859523804
1_14_2013-02-01,16906.58973809525
1_14_2013-02-08,19650.195028571445
1_14_2013-02-15,19831.283480952396
1_14_2013-02-22,19076.349042857142
1_14_2013-03-01,18972.995114285713
1_14_2013-03-08,17143.185133333336
1_14_2013-03-15,16386.486816666667
1_14_2013-03-22,15638.603719047616
1_14_2013-03-29,15427.849183333326
1_14_2013-04-05,15366.022290476185
1_14_2013-04-12,15162.834747619043
1_14_2013-04-19,15039.95007857142
1_14_2013-04-26,15343.110750680267
1_14_2013-05-03,15748.89270068027
1_14_2013-05-10,15790.554293537416
1_14_2013-05-17,15847.311785714292
1_14_2013-05-24,14772.308530952378
1_14_2013-05-31,14626.74799523809
1_14_2013-06-07,14455.865066666662
1_14_2013-06-14,14143.561252380954
1_14_2013-06-21,14370.77451904762
1_14_2013-06-28,15724.032571428575
1_14_2013-07-05,15270.563209523812
1_14_2013-07-12,14621.526950000001
1_14_2013-07-19,13912.976692857144
1_14_2013-07-26,12989.895617346941
1_16_2012-11-02,7536.168226870748
1_16_2012-11-09,7023.175283673473
1_16_2012-11-16,6268.4440785714305
1_16_2012-11-23,8955.859707142858
1_16_2012-11-30,6079.95473877551
1_16_2012-12-07,5886.679483673468
1_16_2012-12-14,6122.762659863945
1_16_2012-12-21,7545.402095238098
1_16_2012-12-28,6482.952666666667
1_16_2013-01-04,5603.653061904758
1_16_2013-01-11,5956.2134595238085
1_16_2013-01-18,6253.079864285713
1_16_2013-01-25,6554.2745
1_16_2013-02-01,8803.303233333334
1_16_2013-02-08,10820.35367857143
1_16_2013-02-15,12796.203571428574
1_16_2013-02-22,15282.221353401363
1_16_2013-03-01,22453.983814285737
1_16_2013-03-08,30622.96230000002
1_16_2013-03-15,42385.681409523815
1_16_2013-03-22,41042.05017380953
1_16_2013-03-29,44770.59012976191
1_16_2013-04-05,45193.123927380955
1_16_2013-04-12,47276.34873690475
1_16_2013-04-19,46718.76773690475
1_16_2013-04-26,41900.54787857142
1_16_2013-05-03,41616.117938095245
1_16_2013-05-10,41264.59718809524
1_16_2013-05-17,39126.85879285715
1_16_2013-05-24,40436.90303333333
1_16_2013-05-31,41035.90448333333
1_16_2013-06-07,35865.80403469389
1_16_2013-06-14,34570.07915952381
1_16_2013-06-21,34273.675330952385
1_16_2013-06-28,35941.61636904761
1_16_2013-07-05,38225.20183333333
1_16_2013-07-12,25687.318904081643
1_16_2013-07-19,23708.866457142856
1_16_2013-07-26,22751.071366666667
1_17_2012-11-02,8143.430942857139
1_17_2012-11-09,8711.099238095238
1_17_2012-11-16,9047.105704761902
1_17_2012-11-23,12019.882854761909
1_17_2012-11-30,10692.331071768716
1_17_2012-12-07,11098.472966666674
1_17_2012-12-14,12856.896009523818
1_17_2012-12-21,15535.77037619048
1_17_2012-12-28,11324.588176190477
1_17_2013-01-04,8536.476088775513
1_17_2013-01-11,8707.315034013609
1_17_2013-01-18,7903.4005904761925
1_17_2013-01-25,7614.905476190475
1_17_2013-02-01,7970.642035714286
1_17_2013-02-08,11029.171850340132
1_17_2013-02-15,11533.48150272108
1_17_2013-02-22,10612.216285714283
1_17_2013-03-01,10566.049999999997
1_17_2013-03-08,10663.73126190476
1_17_2013-03-15,10245.21263333333
1_17_2013-03-22,8093.200838095236
1_17_2013-03-29,8446.501009523812
1_17_2013-04-05,8422.157479251706
1_17_2013-04-12,7686.3558268707475
1_17_2013-04-19,7915.9095547619045
1_17_2013-04-26,8218.663957142857
1_17_2013-05-03,8680.922349999997
1_17_2013-05-10,8469.145295238093
1_17_2013-05-17,8585.972997619048
1_17_2013-05-24,7847.311966666665
1_17_2013-05-31,7350.884928571428
1_17_2013-06-07,7942.963833333332
1_17_2013-06-14,7885.4922380952385
1_17_2013-06-21,7891.558933333333
1_17_2013-06-28,7921.626304761902
1_17_2013-07-05,7835.915376190477
1_17_2013-07-12,7728.713573809527
1_17_2013-07-19,7696.38321666667
1_17_2013-07-26,8044.078688095241
1_18_2012-11-02,12563.856104761899
1_18_2012-11-09,10536.643709523814
1_18_2012-11-16,14451.380630952382
1_18_2012-11-23,36697.82396564627
1_18_2012-11-30,44490.66414285711
1_18_2012-12-07,42907.228499999976
1_18_2012-12-14,35750.4116952381
1_18_2012-12-21,30121.328297619057
1_18_2012-12-28,22118.58688095239
1_18_2013-01-04,7222.8938547619055
1_18_2013-01-11,1849.7737166666673
1_18_2013-01-18,1728.0139547619053
1_18_2013-01-25,1926.0490404761915
1_18_2013-02-01,3798.7168795918365
1_18_2013-02-08,13347.28635102041
1_18_2013-02-15,25600.009455442192
1_18_2013-02-22,1786.4513570294778
1_18_2013-03-01,1678.7072935374147
1_18_2013-03-08,1553.9323173469384
1_18_2013-03-15,1810.8470411564633
1_18_2013-03-22,2636.95174047619
1_18_2013-03-29,5731.408711904759
1_18_2013-04-05,11186.373057142851
1_18_2013-04-12,7080.7360666666655
1_18_2013-04-19,1815.9989523809518
1_18_2013-04-26,272.405897128665
1_18_2013-05-03,99.78339763561836
1_18_2013-05-10,26.23052335957281
1_18_2013-05-17,3.136490285968996
1_18_2013-05-24,2.9917488088121935
1_18_2013-06-07,1.3214239053747168
1_18_2013-07-05,1.3731892114971656
1_19_2012-11-02,1373.678959523809
1_19_2012-11-09,1260.3218976190474
1_19_2012-11-16,1225.3183976190476
1_19_2012-11-23,1353.5006809523807
1_19_2012-11-30,1537.637628571428
1_19_2012-12-07,1608.6441357142853
1_19_2012-12-14,1539.973111904761
1_19_2012-12-21,1667.3184880952372
1_19_2012-12-28,1100.6706857142858
1_19_2013-01-04,715.2832708049889
1_19_2013-01-11,767.0387469954652
1_19_2013-01-18,782.4550327097511
1_19_2013-01-25,847.0323898526083
1_19_2013-02-01,1012.0050039682545
1_19_2013-02-08,983.8080475056692
1_19_2013-02-15,910.8258920634922
1_19_2013-02-22,908.318692063492
1_19_2013-03-01,913.0705063492065
1_19_2013-03-08,978.728256349207
1_19_2013-03-15,1088.8164158730162
1_19_2013-03-22,1202.5936611111115
1_19_2013-03-29,1091.1900992063497
1_19_2013-04-05,1175.5154801587307
1_19_2013-04-12,1042.9122373015875
1_19_2013-04-19,943.5479777777778
1_19_2013-04-26,879.5860444444443
1_19_2013-05-03,1208.6249158730157
1_19_2013-05-10,1576.3691658730156
1_19_2013-05-17,1472.7466349206356
1_19_2013-05-24,1229.1785039682545
1_19_2013-05-31,1269.736708730159
1_19_2013-06-07,1231.183395238096
1_19_2013-06-14,1028.546642857143
1_19_2013-06-21,992.6785119047621
1_19_2013-06-28,1087.042873809524
1_19_2013-07-05,1120.1294190476192
1_19_2013-07-12,1060.620876190476
1_19_2013-07-19,1014.6580357142855
1_19_2013-07-26,1023.1304251700677
1_20_2012-11-02,3326.1263595238092
1_20_2012-11-09,3240.2869035714293
1_20_2012-11-16,3146.0725967687085
1_20_2012-11-23,5533.251059523811
1_20_2012-11-30,3254.0472345238095
1_20_2012-12-07,3225.6766976190465
1_20_2012-12-14,3572.8986010204076
1_20_2012-12-21,4764.269209523811
1_20_2012-12-28,4270.636829931973
1_20_2013-01-04,3533.763269047618
1_20_2013-01-11,3900.1568309523814
1_20_2013-01-18,3801.361254761905
1_20_2013-01-25,3900.505421428572
1_20_2013-02-01,4535.62406904762
1_20_2013-02-08,5524.288728571431
1_20_2013-02-15,5280.432899999998
1_20_2013-02-22,4963.618414285714
1_20_2013-03-01,5370.553866666668
1_20_2013-03-08,6148.826388095242
1_20_2013-03-15,5451.067938095239
1_20_2013-03-22,5276.733971428572
1_20_2013-03-29,5040.670411904763
1_20_2013-04-05,4389.792454761904
1_20_2013-04-12,4349.996228571428
1_20_2013-04-19,4462.637337755101
1_20_2013-04-26,4551.767885374148
1_20_2013-05-03,4620.245194897959
1_20_2013-05-10,4592.691144897958
1_20_2013-05-17,4883.166045238098
1_20_2013-05-24,4732.655690476189
1_20_2013-05-31,4908.424452380951
1_20_2013-06-07,4766.00669047619
1_20_2013-06-14,4312.765971428571
1_20_2013-06-21,4853.126747619047
1_20_2013-06-28,5094.952104761905
1_20_2013-07-05,5169.110788095237
1_20_2013-07-12,5128.835097619046
1_20_2013-07-19,4674.5932833333345
